
2025/05/10 (00:53:14) | ===> btop++ v.1.4.0
2025/05/10 (00:53:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/10 (23:42:54) | ===> btop++ v.1.4.0
2025/05/10 (23:42:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/11 (01:11:32) | ===> btop++ v.1.4.0
2025/05/11 (01:11:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/11 (15:57:42) | ===> btop++ v.1.4.0
2025/05/11 (15:57:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/11 (16:44:00) | ===> btop++ v.1.4.0
2025/05/11 (16:44:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/11 (23:02:17) | ===> btop++ v.1.4.0
2025/05/11 (23:02:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/14 (21:26:52) | ===> btop++ v.1.4.0
2025/05/14 (21:26:52) | WARNING: Intel GPU: Failed to initialize PMU
